5 Bombs (OoT);bomb
5 Deku Nuts (OoT);nut
10 Bombchu (OoT);bombchu
Fairy Bow;bow_oot
Fairy Slingshot;slingshot
Boomerang;boomrang
Deku Stick (OoT);stick
Hookshot (OoT);hookshot_oot
Longshot (OoT);longshot
Lens of Truth (OoT);lens
Zelda's Letter;letter
Ocarina of Time (OoT);ocarina
Megaton Hammer (OoT);hammer
Cojiro;cojiro
Empty Bottle (OoT);bottle
Red Potion (OoT);red_potion
Green Potion (OoT);green_potion
Blue Potion (OoT);blue_potion
Fairy (OoT);bottled_fairy
Bottle of Lon Lon Milk;milk
Ruto's Letter;ruto
Magic Bean (OoT);bean
Skull Mask;skull
Spooky Mask;spooky
Chicken;cucco
Keaton Mask (OoT);keaton
Bunny Hood (OoT);bunny
Mask of Truth (OoT);truth
Pocket Egg;egg
Pocket Cucco;cucco
Odd Mushroom;mushroom
Odd Potion;potion
Poacher's Saw;broken_big
Broken Goron's Sword;
Prescription;prescription
Eyeball Frog;frog
Eye Drops;eye_drops
Claim Check;claim
Kokiri Sword (OoT);kokiri
Giant's Knife;biggoron
Deku Shield (OoT);deku_shield
Hylian Shield;hylian_shield
Mirror Shield (OoT);mirror_oot
Goron Tunic (OoT);goron_tunic
Zora Tunic (OoT);zora_tunic
Iron Boots (OoT);iron
Hover Boots (OoT);hover
Big Quiver (OoT);big_quiver
Biggest Quiver (OoT);biggest_quiver
Bomb Bag (OoT);bomb_bag
Big Bomb Bag (OoT);big_bomb
Biggest Bomb Bag (OoT);biggest_bomb
Silver Gauntlets (OoT);silver_gauntlet
Golden Gauntlets (OoT);golden_gauntlet
Silver Scale (OoT);silver
Golden Scale (OoT);golden
Stone of Agony (OoT);agony
Gerudo's Card;card
Fairy Ocarina (OoT);fairy_ocarina
5 Deku Seeds;seeds
Heart Container (OoT);heart_container
Piece of Heart (OoT);heart_piece
Boss Key (OoT);boss_key
Compass (OoT);compass
Dungeon Map (OoT);map
Small Key (OoT);small_key
Small Magic Jar (OoT);magic
Large Magic Jar (OoT);double_magic
Adult's Wallet (OoT);wallet
Giant's Wallet (OoT);big_wallet
Weird Egg;egg
Recovery Heart (OoT);heart
5 Arrows (OoT);arrow
10 Arrows (OoT);arrow
30 Arrows (OoT);arrow
Green Rupee (OoT);rupee
Blue Rupee (OoT);blue_rupee
Red Rupee (OoT);red_rupee
Heart Container (OoT);heart_container
Lon Lon Milk;milk
Goron Mask (OoT);goron
Zora Mask (OoT);zora
Gerudo Mask;gerudo
Goron's Bracelet (OoT);bracelet
Purple Rupee (OoT);purple_rupee
Huge Rupee;gold_rupee
Biggoron's Sword;biggoron
Fire Arrow (OoT);fire_arrow
Ice Arrow (OoT);ice_arrow
Light Arrow (OoT);light_arrow
Gold Skulltula Token;gs_token
Din's Fire (OoT);din
Farore's Wind (OoT);farore
Nayru's Love (OoT);nayru
Bullet Bag;big_seed
Large Bullet Bag;biggest_seed
5 Deku Sticks (OoT);stick
10 Deku Sticks (OoT);stick
5 Deku Nuts (OoT);nut
10 Deku Nuts (OoT);nut
Bomb (OoT);bomb
10 Bombs (OoT);bomb
20 Bombs (OoT);bomb
30 Bombs (OoT);bomb
30 Deku Seeds;seeds
5 Bombchu (OoT);bombchu
20 Bombchu (OoT);bombchu
Fish (OoT);bottled_fish
Bug (OoT);bottled_bugs
Blue Fire (OoT);blue_fire
Poe (OoT);bottled_poe
Big Poe (OoT);bottled_big_poe
Small Key (OoT);small_key
Green Rupee (OoT);rupee
Blue Rupee (OoT);blue_rupee
Red Rupee (OoT);red_rupee
Purple Rupee (OoT);purple_rupee
Piece of Heart (OoT);heart_piece
Deku Stick Upgrade (OoT);
Second Deku Stick Upgrade (OoT);
Deku Nut Upgrade (OoT);
Second Deku Nut Upgrade (OoT);
Largest Bullet Bag;biggest_seed
IceTrap (OoT);
Unknown;none
Unknown;none
Unknown;none
Rainbow Rupee;rainbow
Minuet of Forest;
Bolero of Fire;
Serenade of Water;
Requiem of Spirit;
Nocturne of Shadow;
Prelude of Light;
Zelda's Lullaby;
Epona's Song (OoT);
